ICD-9 code 1,ICD-9 code 2,Shared SNP associations,ICD-9 code 1 description,ICD-9 code 2 description,ICD-9 code category 1,ICD-9 code category 2
112.3,414.8,1,CANDIDIASIS OF SKIN AND NAILS,OTHER SPECIFIED FORMS OF CHRONIC ISCHEMIC HEART DISEASE,Infectious_Disorders,Cardiovascular_Disorders
715.96,780.4,1,"OSTEOARTHROSIS, UNSPECIFIED WHETHER GENERALIZED OR LOCALIZED, LOWER LEG",DIZZINESS AND GIDDINESS,Musculoskeletal_and_Connective_Tissue_Disorders,Neurological_Disorders
112.1,715.96,1,CANDIDIASIS OF VULVA AND VAGINA,"OSTEOARTHROSIS, UNSPECIFIED WHETHER GENERALIZED OR LOCALIZED, LOWER LEG",Infectious_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
521.0,702.11,1,UNSPECIFIED DENTAL CARIES,INFLAMED SEBORRHEIC KERATOSIS,Dental_Disorders,Skin_and_Subcutaneous_Disorders
354.0,521.0,1,CARPAL TUNNEL SYNDROME,UNSPECIFIED DENTAL CARIES,Neurological_Disorders,Dental_Disorders
435.9,473.8,1,UNSPECIFIED TRANSIENT CEREBRAL ISCHEMIA,OTHER CHRONIC SINUSITIS,Neurological_Disorders,Ent_and_Eye_Disorders
470.0,493.9,1,DEVIATED NASAL SEPTUM,UNSPECIFIED ASTHMA,Ent_and_Eye_Disorders,Respiratory_Disorders
722.4,785.1,1,DEGENERATION OF CERVICAL INTERVERTEBRAL DISC,PALPITATIONS,Musculoskeletal_and_Connective_Tissue_Disorders,Cardiovascular_Disorders
403.9,482.9,1,"UNSPECIFIED HYPERTENSIVE KIDNEY DISEASE WITH CHRONIC KIDNEY DISEASE STAGE I THROUGH STAGE IV, OR UNSPECIFIED","BACTERIAL PNEUMONIA, UNSPECIFIED",Cardiovascular_Disorders,Infectious_Disorders
780.79,788.1,1,OTHER MALAISE AND FATIGUE,DYSURIA,Neurological_Disorders,Other_Genitourinary_Disorders
285.21,715.09,1,ANEMIA IN CHRONIC KIDNEY DISEASE,"GENERALIZED OSTEOARTHROSIS, INVOLVING MULTIPLE SITES",Hematologic_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
241.0,365.0,1,NONTOXIC UNINODULAR GOITER,"PREGLAUCOMA, UNSPECIFIED",Endocrine_Disorders,Ent_and_Eye_Disorders
357.4,490.0,1,POLYNEUROPATHY IN OTHER DISEASES CLASSIFIED ELSEWHERE,"BRONCHITIS, NOT SPECIFIED AS ACUTE OR CHRONIC",Neurological_Disorders,Respiratory_Disorders
287.5,424.0,1,"THROMBOCYTOPENIA, UNSPECIFIED",MITRAL VALVE DISORDERS,Hematologic_Disorders,Cardiovascular_Disorders
346.9,780.2,1,"MIGRAINE, UNSPECIFIED, WITHOUT MENTION OF INTRACTABLE MIGRAINE WITHOUT MENTION OF STATUS MIGRAINOSUS",SYNCOPE AND COLLAPSE,Neurological_Disorders,Neurological_Disorders
244.8,338.29,1,OTHER SPECIFIED ACQUIRED HYPOTHYROIDISM,OTHER CHRONIC PAIN,Endocrine_Disorders,338.29
361.0,461.9,1,"RETINAL DETACHMENT WITH RETINAL DEFECT, UNSPECIFIED","ACUTE SINUSITIS, UNSPECIFIED",Ent_and_Eye_Disorders,Infectious_Disorders
281.0,788.3,1,PERNICIOUS ANEMIA,UNSPECIFIED URINARY INCONTINENCE,Hematologic_Disorders,Other_Genitourinary_Disorders
427.81,733.09,1,SINOATRIAL NODE DYSFUNCTION,OTHER OSTEOPOROSIS,Cardiovascular_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
296.22,466.0,1,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, MODERATE",ACUTE BRONCHITIS,Psychiatric_Disorders,Infectious_Disorders
309.0,728.85,1,ADJUSTMENT DISORDER WITH DEPRESSED MOOD,SPASM OF MUSCLE,Psychiatric_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
79.99,465.9,1,"UNSPECIFIED VIRAL INFECTION, IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE",ACUTE UPPER RESPIRATORY INFECTIONS OF UNSPECIFIED SITE,Infectious_Disorders,Infectious_Disorders
440.1,454.8,1,ATHEROSCLEROSIS OF RENAL ARTERY,VARICOSE VEINS OF LOWER EXTREMITIES WITH OTHER COMPLICATIONS,Cardiovascular_Disorders,Varicose_Veins_Haemorrhoids_and_Lymphatic_Disorders
79.99,618.01,1,"UNSPECIFIED VIRAL INFECTION, IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE","CYSTOCELE, MIDLINE",Infectious_Disorders,Gynecological_Disorders
625.9,703.0,1,UNSPECIFIED SYMPTOM ASSOCIATED WITH FEMALE GENITAL ORGANS,INGROWING NAIL,Gynecological_Disorders,Skin_and_Subcutaneous_Disorders
372.3,789.04,1,CONJUNCTIVITIS UNSPECIFIED,"ABDOMINAL PAIN, LEFT LOWER QUADRANT",Ent_and_Eye_Disorders,Other_Digestive_System_Disorders
382.9,726.32,1,UNSPECIFIED OTITIS MEDIA,LATERAL EPICONDYLITIS  OF ELBOW,Infectious_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
434.91,787.1,1,UNSPECIFIED CEREBRAL ARTERY OCCLUSION WITH CEREBRAL INFARCTION,HEARTBURN,Neurological_Disorders,Other_Digestive_System_Disorders
428.0,787.01,1,"CONGESTIVE HEART FAILURE, UNSPECIFIED",NAUSEA WITH VOMITING,Cardiovascular_Disorders,Other_Digestive_System_Disorders
296.8,365.9,1,"BIPOLAR DISORDER, UNSPECIFIED",UNSPECIFIED GLAUCOMA,Psychiatric_Disorders,Ent_and_Eye_Disorders
701.9,789.06,1,UNSPECIFIED HYPERTROPHIC AND ATROPHIC CONDITION OF SKIN,"ABDOMINAL PAIN, EPIGASTRIC",Skin_and_Subcutaneous_Disorders,Other_Digestive_System_Disorders
530.81,722.4,1,ESOPHAGEAL REFLUX,DEGENERATION OF CERVICAL INTERVERTEBRAL DISC,Digestive_System_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
530.85,701.9,1,BARRETT'S ESOPHAGUS,UNSPECIFIED HYPERTROPHIC AND ATROPHIC CONDITION OF SKIN,Digestive_System_Disorders,Skin_and_Subcutaneous_Disorders
285.21,788.41,1,ANEMIA IN CHRONIC KIDNEY DISEASE,URINARY FREQUENCY,Hematologic_Disorders,Other_Genitourinary_Disorders
300.0,789.01,1,"ANXIETY STATE, UNSPECIFIED","ABDOMINAL PAIN, RIGHT UPPER QUADRANT",Psychiatric_Disorders,Other_Digestive_System_Disorders
110.4,365.0,1,DERMATOPHYTOSIS OF FOOT,"PREGLAUCOMA, UNSPECIFIED",Infectious_Disorders,Ent_and_Eye_Disorders
242.9,716.59,1,"THYROTOXICOSIS WITHOUT MENTION OF GOITER OR OTHER CAUSE, WITHOUT MENTION OF THYROTOXIC CRISIS OR STORM","UNSPECIFIED POLYARTHROPATHY OR POLYARTHRITIS, MULTIPLE SITES",Endocrine_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
611.72,715.16,1,LUMP OR MASS IN BREAST,"PRIMARY LOCALIZED OSTEOARTHROSIS, LOWER LEG",Breast_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
250.4,716.59,1,"TYPE II OR UNSPECIFIED TYPE DIABETES MELLITUS WITH RENAL MANIFESTATIONS, NOT STATED AS UNCONTROLLED","UNSPECIFIED POLYARTHROPATHY OR POLYARTHRITIS, MULTIPLE SITES",Endocrine_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
721.0,722.0,1,CERVICAL SPONDYLOSIS WITHOUT MYELOPATHY,DISPLACEMENT OF CERVICAL INTERVERTEBRAL DISC WITHOUT MYELOPATHY,Musculoskeletal_and_Connective_Tissue_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
309.28,787.02,1,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD,NAUSEA ALONE,Psychiatric_Disorders,Other_Digestive_System_Disorders
703.8,715.94,1,OTHER SPECIFIED DISEASE OF NAIL,"OSTEOARTHROSIS, UNSPECIFIED WHETHER GENERALIZED OR LOCALIZED, HAND",Skin_and_Subcutaneous_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
333.94,796.2,2,RESTLESS LEGS SYNDROME (RLS),ELEVATED BLOOD PRESSURE READING WITHOUT DIAGNOSIS OF HYPERTENSION,Neurological_Disorders,Nonspecific_Abnormal_Findings
424.1,781.2,1,AORTIC VALVE DISORDERS,ABNORMALITY OF GAIT,Cardiovascular_Disorders,Neurological_Disorders
309.0,564.09,1,ADJUSTMENT DISORDER WITH DEPRESSED MOOD,OTHER CONSTIPATION,Psychiatric_Disorders,Digestive_System_Disorders
403.91,722.9,1,UNSPECIFIED HYPERTENSIVE KIDNEY DISEASE WITH CHRONIC KIDNEY DISEASE STAGE V OR END STAGE RENAL DISEASE,OTHER AND UNSPECIFIED DISC DISORDER OF UNSPECIFIED REGION,Cardiovascular_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
550.9,780.93,1,"INGUINAL HERNIA WITHOUT MENTION OF OBSTRUCTION OR GANGRENE, UNILATERAL OR UNSPECIFIED, (NOT SPECIFIED AS RECURRENT)",MEMORY LOSS,Digestive_System_Disorders,Neurological_Disorders
280.9,780.93,1,"IRON DEFICIENCY ANEMIA, UNSPECIFIED",MEMORY LOSS,Hematologic_Disorders,Neurological_Disorders
272.2,719.41,1,MIXED HYPERLIPIDEMIA,"PAIN IN JOINT, SHOULDER REGION",Other_Nutritional_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
402.91,443.0,1,UNSPECIFIED HYPERTENSIVE HEART DISEASE WITH HEART FAILURE,RAYNAUD'S SYNDROME,Cardiovascular_Disorders,Other_Cardiovascular_Disorders
564.0,585.5,1,UNSPECIFIED CONSTIPATION,"CHRONIC KIDNEY DISEASE, STAGE V",Digestive_System_Disorders,Genitourinary_Disorders
787.1,790.6,1,HEARTBURN,OTHER ABNORMAL BLOOD CHEMISTRY,Other_Digestive_System_Disorders,Nonspecific_Abnormal_Findings
692.6,733.01,1,CONTACT DERMATITIS AND OTHER ECZEMA DUE TO PLANTS (EXCEPT FOOD),SENILE OSTEOPOROSIS,Other_Skin_and_Subcutaneous_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
733.01,791.0,1,SENILE OSTEOPOROSIS,PROTEINURIA,Musculoskeletal_and_Connective_Tissue_Disorders,Nonspecific_Abnormal_Findings
465.9,473.8,1,ACUTE UPPER RESPIRATORY INFECTIONS OF UNSPECIFIED SITE,OTHER CHRONIC SINUSITIS,Infectious_Disorders,Ent_and_Eye_Disorders
70.54,787.1,1,CHRONIC HEPATITIS C WITHOUT MENTION OF HEPATIC COMA,HEARTBURN,Infectious_Disorders,Other_Digestive_System_Disorders
414.8,553.3,1,OTHER SPECIFIED FORMS OF CHRONIC ISCHEMIC HEART DISEASE,DIAPHRAGMATIC HERNIA WITHOUT MENTION OF OBSTRUCTION OR GANGRENE,Cardiovascular_Disorders,Digestive_System_Disorders
427.0,708.9,1,PAROXYSMAL SUPRAVENTRICULAR TACHYCARDIA,"URTICARIA, UNSPECIFIED",Cardiovascular_Disorders,Other_Skin_and_Subcutaneous_Disorders
300.0,611.72,1,"ANXIETY STATE, UNSPECIFIED",LUMP OR MASS IN BREAST,Psychiatric_Disorders,Breast_Disorders
300.0,333.1,1,"ANXIETY STATE, UNSPECIFIED",ESSENTIAL AND OTHER SPECIFIED FORMS OF TREMOR,Psychiatric_Disorders,Neurological_Disorders
365.0,733.0,1,"PREGLAUCOMA, UNSPECIFIED","OSTEOPOROSIS, UNSPECIFIED",Ent_and_Eye_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
269.2,327.23,1,UNSPECIFIED VITAMIN DEFICIENCY,OBSTRUCTIVE SLEEP APNEA (ADULT) (PEDIATRIC),Nutritional_Disorders,Neurological_Disorders
54.9,362.5,1,HERPES SIMPLEX WITHOUT MENTION OF COMPLICATION,"MACULAR DEGENERATION (SENILE) OF RETINA, UNSPECIFIED",Infectious_Disorders,Ent_and_Eye_Disorders
703.8,784.0,1,OTHER SPECIFIED DISEASE OF NAIL,HEADACHE,Skin_and_Subcutaneous_Disorders,Neurological_Disorders
277.7,703.8,1,DYSMETABOLIC SYNDROME X,OTHER SPECIFIED DISEASE OF NAIL,Inherited_Metabolic_and_Immune_Disorders,Skin_and_Subcutaneous_Disorders
715.96,726.2,1,"OSTEOARTHROSIS, UNSPECIFIED WHETHER GENERALIZED OR LOCALIZED, LOWER LEG","OTHER AFFECTIONS OF SHOULDER REGION, NOT ELSEWHERE CLASSIFIED",Musculoskeletal_and_Connective_Tissue_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
787.2,790.21,1,"DYSPHAGIA, UNSPECIFIED",IMPAIRED FASTING GLUCOSE,Other_Digestive_System_Disorders,Nonspecific_Abnormal_Findings
287.5,564.09,1,"THROMBOCYTOPENIA, UNSPECIFIED",OTHER CONSTIPATION,Hematologic_Disorders,Digestive_System_Disorders
309.28,781.2,1,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD,ABNORMALITY OF GAIT,Psychiatric_Disorders,Neurological_Disorders
530.1,788.21,1,"ESOPHAGITIS, UNSPECIFIED",INCOMPLETE BLADDER EMPTYING,Digestive_System_Disorders,Other_Genitourinary_Disorders
413.9,781.2,1,OTHER AND UNSPECIFIED ANGINA PECTORIS,ABNORMALITY OF GAIT,Cardiovascular_Disorders,Neurological_Disorders
722.9,724.4,1,OTHER AND UNSPECIFIED DISC DISORDER OF UNSPECIFIED REGION,"THORACIC OR LUMBOSACRAL NEURITIS OR RADICULITIS, UNSPECIFIED",Musculoskeletal_and_Connective_Tissue_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
362.83,791.0,1,RETINAL EDEMA,PROTEINURIA,Ent_and_Eye_Disorders,Nonspecific_Abnormal_Findings
424.1,424.9,1,AORTIC VALVE DISORDERS,"ENDOCARDITIS, VALVE UNSPECIFIED, UNSPECIFIED CAUSE",Cardiovascular_Disorders,Cardiovascular_Disorders
564.0,780.53,1,UNSPECIFIED CONSTIPATION,"HYPERSOMNIA WITH SLEEP APNEA, UNSPECIFIED",Digestive_System_Disorders,Neurological_Disorders
332.0,414.9,1,PARALYSIS AGITANS,"CHRONIC ISCHEMIC HEART DISEASE, UNSPECIFIED",Neurological_Disorders,Cardiovascular_Disorders
722.4,784.7,1,DEGENERATION OF CERVICAL INTERVERTEBRAL DISC,EPISTAXIS,Musculoskeletal_and_Connective_Tissue_Disorders,Ent_and_Eye_Disorders
521.0,706.1,1,UNSPECIFIED DENTAL CARIES,OTHER ACNE,Dental_Disorders,Other_Skin_and_Subcutaneous_Disorders
482.9,790.6,1,"BACTERIAL PNEUMONIA, UNSPECIFIED",OTHER ABNORMAL BLOOD CHEMISTRY,Infectious_Disorders,Nonspecific_Abnormal_Findings
454.8,840.4,1,VARICOSE VEINS OF LOWER EXTREMITIES WITH OTHER COMPLICATIONS,ROTATOR CUFF (CAPSULE) SPRAIN,Varicose_Veins_Haemorrhoids_and_Lymphatic_Disorders,Other_Injuries_(Excluding_Fractures)
535.5,553.3,1,UNSPECIFIED GASTRITIS AND GASTRODUODENITIS WITHOUT MENTION OF HEMORRHAGE,DIAPHRAGMATIC HERNIA WITHOUT MENTION OF OBSTRUCTION OR GANGRENE,Digestive_System_Disorders,Digestive_System_Disorders
492.8,611.1,1,OTHER EMPHYSEMA,HYPERTROPHY OF BREAST,Respiratory_Disorders,Breast_Disorders
314.0,346.1,1,ATTENTION DEFICIT DISORDER WITHOUT MENTION OF HYPERACTIVITY,"MIGRAINE WITHOUT AURA, WITHOUT MENTION OF INTRACTABLE MIGRAINE WITHOUT MENTION OF STATUS MIGRAINOSUS",Psychiatric_Disorders,Neurological_Disorders
434.91,891.0,1,UNSPECIFIED CEREBRAL ARTERY OCCLUSION WITH CEREBRAL INFARCTION,"OPEN WOUND OF KNEE, LEG (EXCEPT THIGH), AND ANKLE, WITHOUT MENTION OF COMPLICATION",Neurological_Disorders,Other_Injuries_(Excluding_Fractures)
715.0,788.41,1,"GENERALIZED OSTEOARTHROSIS, UNSPECIFIED SITE",URINARY FREQUENCY,Musculoskeletal_and_Connective_Tissue_Disorders,Other_Genitourinary_Disorders
702.11,789.01,1,INFLAMED SEBORRHEIC KERATOSIS,"ABDOMINAL PAIN, RIGHT UPPER QUADRANT",Skin_and_Subcutaneous_Disorders,Other_Digestive_System_Disorders
786.07,786.59,1,WHEEZING,OTHER CHEST PAIN,Cardiovascular_Disorders,Cardiovascular_Disorders
327.23,427.89,1,OBSTRUCTIVE SLEEP APNEA (ADULT) (PEDIATRIC),OTHER SPECIFIED CARDIAC DYSRHYTHMIAS,Neurological_Disorders,Cardiovascular_Disorders
346.0,355.9,1,"MIGRAINE WITH AURA, WITHOUT MENTION OF INTRACTABLE MIGRAINE WITHOUT MENTION OF STATUS MIGRAINOSUS",MONONEURITIS OF UNSPECIFIED SITE,Neurological_Disorders,Neurological_Disorders
53.9,112.3,1,HERPES ZOSTER WITHOUT MENTION OF COMPLICATION,CANDIDIASIS OF SKIN AND NAILS,Infectious_Disorders,Infectious_Disorders
53.9,410.9,1,HERPES ZOSTER WITHOUT MENTION OF COMPLICATION,"ACUTE MYOCARDIAL INFARCTION, UNSPECIFIED SITE, EPISODE OF CARE UNSPECIFIED",Infectious_Disorders,Cardiovascular_Disorders
784.0,788.21,1,HEADACHE,INCOMPLETE BLADDER EMPTYING,Neurological_Disorders,Other_Genitourinary_Disorders
272.0,440.1,1,PURE HYPERCHOLESTEROLEMIA,ATHEROSCLEROSIS OF RENAL ARTERY,Other_Nutritional_Disorders,Cardiovascular_Disorders
550.9,789.03,1,"INGUINAL HERNIA WITHOUT MENTION OF OBSTRUCTION OR GANGRENE, UNILATERAL OR UNSPECIFIED, (NOT SPECIFIED AS RECURRENT)","ABDOMINAL PAIN, RIGHT LOWER QUADRANT",Digestive_System_Disorders,Other_Digestive_System_Disorders
280.9,437.0,1,"IRON DEFICIENCY ANEMIA, UNSPECIFIED",CEREBRAL ATHEROSCLEROSIS,Hematologic_Disorders,Neurological_Disorders
564.0,682.9,1,UNSPECIFIED CONSTIPATION,CELLULITIS AND ABSCESS OF UNSPECIFIED SITE,Digestive_System_Disorders,Infectious_Disorders
424.9,682.9,1,"ENDOCARDITIS, VALVE UNSPECIFIED, UNSPECIFIED CAUSE",CELLULITIS AND ABSCESS OF UNSPECIFIED SITE,Cardiovascular_Disorders,Infectious_Disorders
436.0,493.9,1,"ACUTE, BUT ILL-DEFINED, CEREBROVASCULAR DISEASE",UNSPECIFIED ASTHMA,Neurological_Disorders,Respiratory_Disorders
428.22,706.2,1,CHRONIC SYSTOLIC HEART FAILURE,SEBACEOUS CYST,Cardiovascular_Disorders,Other_Skin_and_Subcutaneous_Disorders
428.22,440.21,1,CHRONIC SYSTOLIC HEART FAILURE,ATHEROSCLEROSIS OF NATIVE ARTERIES OF THE EXTREMITIES WITH INTERMITTENT CLAUDICATION,Cardiovascular_Disorders,Cardiovascular_Disorders
472.0,522.5,1,CHRONIC RHINITIS,PERIAPICAL ABSCESS WITHOUT SINUS,Ent_and_Eye_Disorders,Dental_Disorders
466.0,840.4,1,ACUTE BRONCHITIS,ROTATOR CUFF (CAPSULE) SPRAIN,Infectious_Disorders,Other_Injuries_(Excluding_Fractures)
244.8,707.1,1,OTHER SPECIFIED ACQUIRED HYPOTHYROIDISM,"ULCER OF LOWER LIMB, UNSPECIFIED",Endocrine_Disorders,Other_Skin_and_Subcutaneous_Disorders
733.13,891.0,1,PATHOLOGIC FRACTURE OF VERTEBRAE,"OPEN WOUND OF KNEE, LEG (EXCEPT THIGH), AND ANKLE, WITHOUT MENTION OF COMPLICATION",Musculoskeletal_and_Connective_Tissue_Disorders,Other_Injuries_(Excluding_Fractures)
379.21,790.6,1,VITREOUS DEGENERATION,OTHER ABNORMAL BLOOD CHEMISTRY,Ent_and_Eye_Disorders,Nonspecific_Abnormal_Findings
242.9,530.85,1,"THYROTOXICOSIS WITHOUT MENTION OF GOITER OR OTHER CAUSE, WITHOUT MENTION OF THYROTOXIC CRISIS OR STORM",BARRETT'S ESOPHAGUS,Endocrine_Disorders,Digestive_System_Disorders
354.0,786.07,1,CARPAL TUNNEL SYNDROME,WHEEZING,Neurological_Disorders,Cardiovascular_Disorders
428.32,611.72,1,CHRONIC DIASTOLIC HEART FAILURE,LUMP OR MASS IN BREAST,Cardiovascular_Disorders,Breast_Disorders
726.1,788.2,1,"DISORDERS OF BURSAE AND TENDONS IN SHOULDER REGION, UNSPECIFIED","RETENTION OF URINE, UNSPECIFIED",Musculoskeletal_and_Connective_Tissue_Disorders,Other_Genitourinary_Disorders
346.1,427.0,1,"MIGRAINE WITHOUT AURA, WITHOUT MENTION OF INTRACTABLE MIGRAINE WITHOUT MENTION OF STATUS MIGRAINOSUS",PAROXYSMAL SUPRAVENTRICULAR TACHYCARDIA,Neurological_Disorders,Cardiovascular_Disorders
272.1,296.32,1,PURE HYPERGLYCERIDEMIA,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, MODERATE",Other_Nutritional_Disorders,Psychiatric_Disorders
345.9,346.9,1,UNSPECIFIED EPILEPSY WITHOUT MENTION OF INTRACTABLE EPILEPSY,"MIGRAINE, UNSPECIFIED, WITHOUT MENTION OF INTRACTABLE MIGRAINE WITHOUT MENTION OF STATUS MIGRAINOSUS",Neurological_Disorders,Neurological_Disorders
462.0,715.98,1,ACUTE PHARYNGITIS,"OSTEOARTHROSIS, UNSPECIFIED WHETHER GENERALIZED OR LOCALIZED, OTHER SPECIFIED SITES",Infectious_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
272.0,690.1,1,PURE HYPERCHOLESTEROLEMIA,"SEBORRHEIC DERMATITIS, UNSPECIFIED",Other_Nutritional_Disorders,Other_Skin_and_Subcutaneous_Disorders
462.0,521.0,1,ACUTE PHARYNGITIS,UNSPECIFIED DENTAL CARIES,Infectious_Disorders,Dental_Disorders
715.9,784.0,1,"OSTEOARTHROSIS, UNSPECIFIED WHETHER GENERALIZED OR LOCALIZED, UNSPECIFIED SITE",HEADACHE,Musculoskeletal_and_Connective_Tissue_Disorders,Neurological_Disorders
715.9,715.96,1,"OSTEOARTHROSIS, UNSPECIFIED WHETHER GENERALIZED OR LOCALIZED, UNSPECIFIED SITE","OSTEOARTHROSIS, UNSPECIFIED WHETHER GENERALIZED OR LOCALIZED, LOWER LEG",Musculoskeletal_and_Connective_Tissue_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
715.98,786.05,1,"OSTEOARTHROSIS, UNSPECIFIED WHETHER GENERALIZED OR LOCALIZED, OTHER SPECIFIED SITES",SHORTNESS OF BREATH,Musculoskeletal_and_Connective_Tissue_Disorders,Cardiovascular_Disorders
530.1,722.4,1,"ESOPHAGITIS, UNSPECIFIED",DEGENERATION OF CERVICAL INTERVERTEBRAL DISC,Digestive_System_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
722.52,780.93,1,DEGENERATION OF LUMBAR OR LUMBOSACRAL INTERVERTEBRAL DISC,MEMORY LOSS,Musculoskeletal_and_Connective_Tissue_Disorders,Neurological_Disorders
427.69,585.9,1,OTHER PREMATURE BEATS,"CHRONIC KIDNEY DISEASE, UNSPECIFIED",Cardiovascular_Disorders,Genitourinary_Disorders
724.3,733.01,1,SCIATICA,SENILE OSTEOPOROSIS,Musculoskeletal_and_Connective_Tissue_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
357.4,454.8,1,POLYNEUROPATHY IN OTHER DISEASES CLASSIFIED ELSEWHERE,VARICOSE VEINS OF LOWER EXTREMITIES WITH OTHER COMPLICATIONS,Neurological_Disorders,Varicose_Veins_Haemorrhoids_and_Lymphatic_Disorders
599.0,781.2,1,"URINARY TRACT INFECTION, SITE NOT SPECIFIED",ABNORMALITY OF GAIT,Genitourinary_Disorders,Neurological_Disorders
112.3,722.93,1,CANDIDIASIS OF SKIN AND NAILS,OTHER AND UNSPECIFIED DISC DISORDER OF LUMBAR REGION,Infectious_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
79.99,723.1,1,"UNSPECIFIED VIRAL INFECTION, IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE",CERVICALGIA,Infectious_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
300.0,354.0,1,"ANXIETY STATE, UNSPECIFIED",CARPAL TUNNEL SYNDROME,Psychiatric_Disorders,Neurological_Disorders
327.23,781.0,1,OBSTRUCTIVE SLEEP APNEA (ADULT) (PEDIATRIC),ABNORMAL INVOLUNTARY MOVEMENTS,Neurological_Disorders,Neurological_Disorders
362.56,595.0,1,MACULAR PUCKERING OF RETINA,ACUTE CYSTITIS,Ent_and_Eye_Disorders,Genitourinary_Disorders
346.01,362.56,1,"MIGRAINE WITH AURA, WITH INTRACTABLE MIGRAINE, SO STATED, WITHOUT MENTION OF STATUS MIGRAINOSUS",MACULAR PUCKERING OF RETINA,Neurological_Disorders,Ent_and_Eye_Disorders
414.9,796.2,1,"CHRONIC ISCHEMIC HEART DISEASE, UNSPECIFIED",ELEVATED BLOOD PRESSURE READING WITHOUT DIAGNOSIS OF HYPERTENSION,Cardiovascular_Disorders,Nonspecific_Abnormal_Findings
787.91,791.0,1,DIARRHEA,PROTEINURIA,Other_Digestive_System_Disorders,Nonspecific_Abnormal_Findings
285.9,564.0,1,"ANEMIA, UNSPECIFIED",UNSPECIFIED CONSTIPATION,Hematologic_Disorders,Digestive_System_Disorders
366.16,367.4,2,SENILE NUCLEAR SCLEROSIS,PRESBYOPIA,Ent_and_Eye_Disorders,Ent_and_Eye_Disorders
346.1,564.1,1,"MIGRAINE WITHOUT AURA, WITHOUT MENTION OF INTRACTABLE MIGRAINE WITHOUT MENTION OF STATUS MIGRAINOSUS",IRRITABLE BOWEL SYNDROME,Neurological_Disorders,Digestive_System_Disorders
592.1,786.05,1,CALCULUS OF URETER,SHORTNESS OF BREATH,Genitourinary_Disorders,Cardiovascular_Disorders
250.6,562.11,1,"TYPE II OR UNSPECIFIED TYPE DIABETES MELLITUS WITH NEUROLOGICAL MANIFESTATIONS, NOT STATED AS UNCONTROLLED",DIVERTICULITIS OF COLON (WITHOUT MENTION OF HEMORRHAGE),Endocrine_Disorders,Other_Digestive_System_Disorders
428.2,789.04,1,UNSPECIFIED SYSTOLIC HEART FAILURE,"ABDOMINAL PAIN, LEFT LOWER QUADRANT",Cardiovascular_Disorders,Other_Digestive_System_Disorders
724.4,789.07,1,"THORACIC OR LUMBOSACRAL NEURITIS OR RADICULITIS, UNSPECIFIED","ABDOMINAL PAIN, GENERALIZED",Musculoskeletal_and_Connective_Tissue_Disorders,Other_Digestive_System_Disorders
533.9,788.1,1,"PEPTIC ULCER, UNSPECIFIED SITE, UNSPECIFIED AS ACUTE OR CHRONIC, WITHOUT MENTION OF HEMORRHAGE, PERFORATION, OR OBSTRUCTION",DYSURIA,Digestive_System_Disorders,Other_Genitourinary_Disorders
783.1,789.01,1,ABNORMAL WEIGHT GAIN,"ABDOMINAL PAIN, RIGHT UPPER QUADRANT",Nutritional_Disorders,Other_Digestive_System_Disorders
296.32,724.02,1,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, MODERATE","SPINAL STENOSIS, LUMBAR REGION, WITHOUT NEUROGENIC CLAUDICATION",Psychiatric_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
362.01,569.3,1,BACKGROUND DIABETIC RETINOPATHY,HEMORRHAGE OF RECTUM AND ANUS,Ent_and_Eye_Disorders,Digestive_System_Disorders
